A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T	virus	type
FowlpoxN1.N2	0.032258064516129	0	0	0	0	0	0	0.0967741935483871	0	0.032258064516129	0.032258064516129	0.0967741935483871	0	0	0	0	0.032258064516129	0	0.032258064516129	0	0.032258064516129	0	0	0	0	0	0	0.032258064516129	0	0	0	0	0.032258064516129	0	0.032258064516129	0.032258064516129	0	0	0	0	0	0.032258064516129	0	0	0.0645161290322581	0	0	0	0	0	0	0	0	0	0	0	0.032258064516129	0.032258064516129	0	0.0967741935483871	0	0	0	0	0	0	0	0.0645161290322581	0.032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032258064516129	0	0	0	0	0	0.032258064516129	0	0	0.032258064516129	0.032258064516129	0	0	0	Fowlpox	FowlpoxN1.N2
FowlpoxN11.N12	0.00890207715133531	0.0178041543026706	0.0178041543026706	0.00593471810089021	0	0	0.0029673590504451	0.0029673590504451	0.0415430267062315	0.0178041543026706	0.0326409495548961	0.00890207715133531	0.0029673590504451	0	0	0	0.0326409495548961	0.00890207715133531	0.0385756676557863	0.0118694362017804	0.0148367952522255	0.0029673590504451	0.00593471810089021	0.0207715133531157	0.00593471810089021	0	0.0148367952522255	0.0029673590504451	0	0	0	0.0029673590504451	0.0207715133531157	0.0118694362017804	0.0237388724035608	0.0148367952522255	0	0	0.00593471810089021	0	0.0148367952522255	0.00593471810089021	0.0237388724035608	0.029673590504451	0.0237388724035608	0.0148367952522255	0.0118694362017804	0.0267062314540059	0.0029673590504451	0.00593471810089021	0.0148367952522255	0.0207715133531157	0	0	0	0	0.0178041543026706	0.0178041543026706	0.0207715133531157	0.0237388724035608	0.0029673590504451	0	0.0029673590504451	0	0.0385756676557863	0.00890207715133531	0.0415430267062315	0.0178041543026706	0.0029673590504451	0.0029673590504451	0	0.00890207715133531	0.0029673590504451	0.0029673590504451	0.0148367952522255	0.0029673590504451	0	0	0.0029673590504451	0.0029673590504451	0.0148367952522255	0.0118694362017804	0.0178041543026706	0.0385756676557863	0.0029673590504451	0	0	0.0118694362017804	0.0148367952522255	0.0148367952522255	0.0029673590504451	0.00890207715133531	0.0178041543026706	0.00593471810089021	0.0029673590504451	0	Fowlpox	FowlpoxN11.N12
FowlpoxN13.S17	0	0	0	0.0256410256410256	0	0	0	0	0	0	0.0769230769230769	0.0256410256410256	0.0256410256410256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0769230769230769	0.0769230769230769	0.0256410256410256	0.0256410256410256	0	0	0.0256410256410256	0	0	0	0.102564102564103	0.0769230769230769	0	0	0	0	0	0	0	0	0	0	0.0256410256410256	0.0256410256410256	0.0512820512820513	0.0769230769230769	0	0	0	0	0	0.0512820512820513	0	0	0	0	0	0	0	0	0.0256410256410256	0.0512820512820513	0	0	0	0	0	0.0256410256410256	0	0	0.0256410256410256	0	0.0256410256410256	0	0	0.0256410256410256	0	0	0	0	0	0.0256410256410256	Fowlpox	FowlpoxN13.S17
FowlpoxN14.N15	0.00900900900900901	0.018018018018018	0.00900900900900901	0	0	0	0	0	0.036036036036036	0.018018018018018	0.00900900900900901	0.00900900900900901	0	0.018018018018018	0	0.00900900900900901	0.027027027027027	0.00900900900900901	0.036036036036036	0.0540540540540541	0.00900900900900901	0.00900900900900901	0	0.018018018018018	0	0	0.0540540540540541	0	0	0	0	0	0.00900900900900901	0.018018018018018	0.018018018018018	0.018018018018018	0	0	0	0.00900900900900901	0.00900900900900901	0.00900900900900901	0.00900900900900901	0.018018018018018	0.00900900900900901	0	0	0.00900900900900901	0	0	0.00900900900900901	0.00900900900900901	0	0	0	0	0.0540540540540541	0.00900900900900901	0	0.045045045045045	0	0	0.00900900900900901	0	0.018018018018018	0.036036036036036	0.018018018018018	0.027027027027027	0	0	0	0.018018018018018	0.00900900900900901	0	0.027027027027027	0.027027027027027	0	0	0	0	0.00900900900900901	0.036036036036036	0.018018018018018	0.045045045045045	0	0	0	0.00900900900900901	0.036036036036036	0.00900900900900901	0	0.018018018018018	0	0.00900900900900901	0	0.00900900900900901	Fowlpox	FowlpoxN14.N15
FowlpoxN16.N17	0	0	0	0	0	0	0	0.0540540540540541	0	0	0.027027027027027	0.0540540540540541	0	0	0	0	0	0	0.027027027027027	0	0	0	0	0.0540540540540541	0	0	0.0540540540540541	0	0	0	0	0.027027027027027	0	0	0.027027027027027	0	0	0	0	0	0.027027027027027	0.027027027027027	0.0540540540540541	0.027027027027027	0	0.027027027027027	0	0.027027027027027	0	0	0.027027027027027	0	0	0	0	0	0.027027027027027	0	0	0.0540540540540541	0	0	0	0	0	0	0	0.027027027027027	0	0	0	0	0	0.0540540540540541	0	0.0540540540540541	0	0	0	0.027027027027027	0.027027027027027	0	0	0.0540540540540541	0	0	0	0	0.027027027027027	0	0.0540540540540541	0.027027027027027	0	0	0	0.027027027027027	Fowlpox	FowlpoxN16.N17
FowlpoxN16.N19	0.0137614678899083	0.0229357798165138	0.0275229357798165	0.00917431192660551	0	0.00917431192660551	0	0	0.0229357798165138	0.018348623853211	0.0412844036697248	0.0229357798165138	0	0	0	0.00917431192660551	0.036697247706422	0.018348623853211	0.0275229357798165	0.0229357798165138	0.00458715596330275	0.00458715596330275	0	0.0321100917431193	0	0	0.018348623853211	0.00458715596330275	0	0	0	0	0.00458715596330275	0.00458715596330275	0.0275229357798165	0.00458715596330275	0	0.00458715596330275	0	0.00458715596330275	0.0229357798165138	0	0.00458715596330275	0.0137614678899083	0.00458715596330275	0.00917431192660551	0.00458715596330275	0.0229357798165138	0	0.00458715596330275	0.0137614678899083	0.0137614678899083	0	0	0	0	0.0137614678899083	0.00458715596330275	0.0229357798165138	0.0504587155963303	0	0.00917431192660551	0	0.00458715596330275	0.0137614678899083	0.00458715596330275	0.018348623853211	0.0229357798165138	0.00458715596330275	0.00458715596330275	0.00458715596330275	0.00917431192660551	0	0.0137614678899083	0.00917431192660551	0.0229357798165138	0	0	0	0.00458715596330275	0.0137614678899083	0.0137614678899083	0.018348623853211	0.018348623853211	0	0	0	0.00458715596330275	0.0321100917431193	0.0642201834862385	0.018348623853211	0.018348623853211	0.00917431192660551	0	0.00458715596330275	0.0137614678899083	Fowlpox	FowlpoxN16.N19
FowlpoxN17.N18	0	0	0.0444444444444444	0	0	0	0	0.0444444444444444	0.0222222222222222	0	0.0222222222222222	0.0666666666666667	0.0222222222222222	0.0222222222222222	0	0	0	0	0	0.0222222222222222	0	0	0	0.0222222222222222	0	0.0222222222222222	0.0888888888888889	0.0222222222222222	0	0	0	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0.0222222222222222	0	0	0	0	0.0222222222222222	0	0.0666666666666667	0.0666666666666667	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0.0222222222222222	0	0.0444444444444444	0.0222222222222222	0	0	0	0.0222222222222222	0.0222222222222222	0	0	0.0666666666666667	0	0	0	0.0222222222222222	0.0444444444444444	0.0444444444444444	0	0.0222222222222222	0	0	0	0	Fowlpox	FowlpoxN17.N18
FowlpoxN19.N20	0.0123456790123457	0	0.0123456790123457	0.0123456790123457	0	0.0123456790123457	0	0	0.037037037037037	0.0246913580246914	0.0123456790123457	0.0123456790123457	0.0246913580246914	0	0	0	0.0617283950617284	0.0123456790123457	0.0123456790123457	0.0123456790123457	0.037037037037037	0	0	0.0246913580246914	0.0246913580246914	0	0.0123456790123457	0.0246913580246914	0	0	0.0123456790123457	0	0.0123456790123457	0	0.037037037037037	0	0	0.0123456790123457	0	0	0.037037037037037	0	0.0123456790123457	0	0.0123456790123457	0	0.0123456790123457	0	0	0	0.0123456790123457	0.037037037037037	0	0	0	0	0	0	0.0246913580246914	0	0	0	0	0.0123456790123457	0.0123456790123457	0	0.0246913580246914	0	0	0	0.0123456790123457	0.0123456790123457	0.0123456790123457	0.0123456790123457	0.0123456790123457	0.0246913580246914	0.0123456790123457	0	0	0.0123456790123457	0	0	0.0123456790123457	0.0123456790123457	0.0246913580246914	0.0246913580246914	0.0123456790123457	0.0246913580246914	0.037037037037037	0.0617283950617284	0	0.0246913580246914	0	0	0	0	Fowlpox	FowlpoxN19.N20
FowlpoxN19.S14	0	0.00689655172413793	0	0.0206896551724138	0	0	0.00689655172413793	0.0344827586206897	0.0275862068965517	0.00689655172413793	0.0413793103448276	0.0344827586206897	0	0.00689655172413793	0	0	0.0137931034482759	0	0.0551724137931034	0.0137931034482759	0.00689655172413793	0.0137931034482759	0.00689655172413793	0.0137931034482759	0	0	0.0206896551724138	0.00689655172413793	0	0	0	0	0.0206896551724138	0	0.00689655172413793	0.0137931034482759	0	0	0	0.00689655172413793	0.0344827586206897	0	0.00689655172413793	0.0137931034482759	0	0.0137931034482759	0.0137931034482759	0.0275862068965517	0	0.00689655172413793	0.0206896551724138	0.0137931034482759	0.00689655172413793	0	0	0	0.0137931034482759	0.0137931034482759	0.0206896551724138	0.0482758620689655	0	0	0	0.0137931034482759	0.0275862068965517	0.00689655172413793	0.0137931034482759	0.0206896551724138	0	0	0	0.0275862068965517	0.0206896551724138	0.0137931034482759	0	0.0413793103448276	0.00689655172413793	0	0	0	0.0137931034482759	0.0137931034482759	0.00689655172413793	0.0344827586206897	0.00689655172413793	0	0	0	0.0344827586206897	0.0413793103448276	0.00689655172413793	0	0.00689655172413793	0	0	0	Fowlpox	FowlpoxN19.S14
FowlpoxN20.S2	0	0	0.0217391304347826	0	0	0.0217391304347826	0	0.0217391304347826	0.0434782608695652	0	0.0217391304347826	0.0217391304347826	0.0434782608695652	0	0	0	0.0869565217391304	0.0434782608695652	0.0434782608695652	0	0.0217391304347826	0	0	0.0217391304347826	0	0	0.0217391304347826	0	0	0	0	0	0	0	0.0652173913043478	0.0217391304347826	0	0	0	0	0	0	0.0217391304347826	0	0.0434782608695652	0.0217391304347826	0	0.0217391304347826	0.0217391304347826	0	0.0652173913043478	0	0	0	0	0	0.0217391304347826	0	0.0434782608695652	0	0	0.0434782608695652	0	0	0	0	0.0217391304347826	0.0217391304347826	0	0	0	0	0	0.0217391304347826	0	0.0217391304347826	0	0	0	0	0	0.0217391304347826	0	0	0	0	0	0	0	0	0.0217391304347826	0.0217391304347826	0	0	0	0.0217391304347826	Fowlpox	FowlpoxN20.S2
