SBS1	SBS2	SBS5	SBS6	SBS7a	SBS7b	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS19	SBS20	SBS21	SBS23	SBS24	SBS25	SBS26	SBS28	SBS30	SBS31	SBS32	SBS33	SBS37	SBS38	SBS39	SBS40	SBS42	SBS43	SBS44	SBS45	SBS46	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS91	SBS92	SBS93	virus	type
FowlpoxN1-N2	0.0645161290322581	0	0.32258064516129	0	0	0	0.193548387096774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419354838709677	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN1-N2
FowlpoxN11-N12	0.029673590504451	0	0.29673590504451	0.100890207715134	0	0	0	0	0.186943620178042	0	0	0	0	0	0	0	0	0	0	0	0.127596439169139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0949554896142433	0	0	0.163204747774481	0	0	0	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN11-N12
FowlpoxN13-S17	0.307692307692308	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358974358974359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN13-S17
FowlpoxN14-N15	0.00900900900900901	0	0.459459459459459	0	0	0	0	0	0	0	0	0	0.189189189189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0810810810810811	0	0	0	0	0	0	0	0.108108108108108	0	0	0.153153153153153	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN14-N15
FowlpoxN16-N17	0.0540540540540541	0	0.567567567567568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189189189189189	0	0	0	0	0	0.189189189189189	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN16-N17
FowlpoxN16-N19	0.114678899082569	0	0.458715596330275	0	0	0	0	0	0	0	0	0	0.288990825688073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137614678899083	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN16-N19
FowlpoxN17-N18	0	0	0.355555555555556	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266666666666667	0	0	0	0	0	0	0	0	0	0	0	0.177777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN17-N18
FowlpoxN19-N20	0.0617283950617284	0	0.432098765432099	0	0	0	0	0	0	0	0	0	0	0.135802469135802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN19-N20
FowlpoxN19-S14	0.0827586206896552	0	0.427586206896552	0	0	0	0	0	0	0.0689655172413793	0	0	0.241379310344828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179310344827586	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN19-S14
FowlpoxN20-S2	0.108695652173913	0	0.717391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0.173913043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN20-S2
FowlpoxN20-S3	0.0410958904109589	0	0.273972602739726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.465753424657534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219178082191781	0	0	0	0	0	0	0	0	Fowlpox	FowlpoxN20-S3
FowlpoxN3-N4	0.0317460317460317	0	0.46031746031746	0	0	0	0.238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26984126984127	0	0	0	0	0	0	Fowlpox	FowlpoxN3-N4
FowlpoxN8-S6	0.075	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575	0	0	0	0	0	0	0	Fowlpox	FowlpoxN8-S6
Human_alphaherpesvirus_1_96N1-N26	0.037037037037037	0	0.0925925925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.740740740740741	0	0	0	0.12962962962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N1-N26
Human_alphaherpesvirus_1_96N1-N28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317073170731707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682926829268293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N1-N28
Human_alphaherpesvirus_1_96N11-N121	0.0821917808219178	0	0.232876712328767	0	0	0	0	0	0	0	0	0	0	0	0.301369863013699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383561643835616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N11-N121
Human_alphaherpesvirus_1_96N13-S26	0.0227272727272727	0	0.204545454545455	0	0	0	0	0	0	0	0.477272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N13-S26
Human_alphaherpesvirus_1_96N13-S27	0.0967741935483871	0	0	0	0	0	0	0	0	0	0.419354838709677	0	0	0	0.483870967741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N13-S27
Human_alphaherpesvirus_1_96N14-N7	0.052924791086351	0	0.309192200557103	0	0	0	0.172701949860724	0	0	0	0	0	0	0	0.16991643454039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155988857938719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139275766016713	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N14-N7
Human_alphaherpesvirus_1_96N14-S20	0.0639269406392694	0	0.342465753424658	0	0	0	0.0958904109589041	0	0	0	0.118721461187215	0	0	0	0.310502283105023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684931506849315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N14-S20
Human_alphaherpesvirus_1_96N14-S8	0.0358490566037736	0	0.29811320754717	0	0	0.0924528301886792	0	0	0	0	0	0	0	0	0.233018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199056603773585	0	0	0	0	0	0	0	0	0	0.141509433962264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N14-S8
Human_alphaherpesvirus_1_96N15-N16	0.00657894736842105	0	0.460526315789474	0	0	0	0	0	0	0	0	0.111842105263158	0	0	0.421052631578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N15-N16
Human_alphaherpesvirus_1_96N15-N18	0.0408163265306122	0	0.496598639455782	0	0	0	0	0	0	0	0	0	0	0	0.26530612244898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197278911564626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N15-N18
Human_alphaherpesvirus_1_96N16-N171	0.0284090909090909	0	0.431818181818182	0.295454545454545	0	0	0	0	0	0	0.0965909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N16-N171
Human_alphaherpesvirus_1_96N16-S30	0.02	0	0.377142857142857	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0.234285714285714	0	0	0	0	0	0	0	0	0	0	0	0.117142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N16-S30
Human_alphaherpesvirus_1_96N17-S19	0	0	0.0851063829787234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106382978723404	0	0	0	0	0.170212765957447	0	0	0	0	0	0.382978723404255	0	0	0.25531914893617	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N17-S19
Human_alphaherpesvirus_1_96N17-S31	0.0428571428571429	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.557142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N17-S31
Human_alphaherpesvirus_1_96N18-S14	0	0	0.452830188679245	0.334905660377358	0.113207547169811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0990566037735849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N18-S14
Human_alphaherpesvirus_1_96N18-S29	0.0487106017191977	0	0.315186246418338	0	0	0	0	0	0	0	0	0	0	0	0.249283667621777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232091690544413	0.154727793696275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N18-S29
Human_alphaherpesvirus_1_96N19-N201	0.120192307692308	0	0.274038461538462	0	0	0	0	0	0	0	0	0	0	0	0.264423076923077	0	0	0	0	0	0	0	0	0	0	0	0.163461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177884615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N19-N201
Human_alphaherpesvirus_1_96N19-N23	0.0109289617486339	0	0.218579234972678	0	0	0	0	0	0	0	0.120218579234973	0	0	0	0.491803278688525	0	0	0	0	0	0	0	0	0	0	0	0.158469945355191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N19-N23
Human_alphaherpesvirus_1_96N2-N1	0	0	0.359375	0.234375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296875	0	0	0	0	0	0.109375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N2-N1
Human_alphaherpesvirus_1_96N2-N24	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0.180555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458333333333333	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180555555555556	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N2-N24
Human_alphaherpesvirus_1_96N20-N21	0.150793650793651	0	0.41005291005291	0	0	0	0	0	0	0	0.132275132275132	0	0	0	0.306878306878307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N20-N21
Human_alphaherpesvirus_1_96N20-S16	0	0	0.360902255639098	0	0	0	0	0	0	0	0	0	0	0	0.406015037593985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233082706766917	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N20-S16
Human_alphaherpesvirus_1_96N23-S10	0	0	0.174545454545455	0	0	0	0	0	0	0	0	0	0	0	0.483636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141818181818182	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N23-S10
Human_alphaherpesvirus_1_96N23-S9	0.0986547085201794	0	0.502242152466368	0	0	0	0	0	0	0	0.143497757847534	0	0	0	0.174887892376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0807174887892377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N23-S9
Human_alphaherpesvirus_1_96N24-N25	0	0	0.306122448979592	0	0	0	0	0	0	0	0.153061224489796	0	0	0	0.295918367346939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244897959183673	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N24-N25
