tip	date	distance	residual
KY358055.1	1781.7074200913244	2.199995E-5	2.0422631552028826E-4
DQ441447.1	1952.5	0.0023799476	-3.6886944590484643E-4
DQ441419.1	1966.5	0.0025370966	-4.5198034350633215E-4
Y16780.1	1966.5	0.0027590583999999997	-2.3001854350633262E-4
DQ441434.1	1969.5	0.0031584304	1.1786919272192267E-4
OL468961.1	1968.5	0.0031955321999999997	1.721324139791684E-4
DQ441416.1	1968.5	0.0031810995	1.5769971397916862E-4
DQ441426.1	1969.5	0.0032243589	1.8379769272192266E-4
DQ441437.1	1969.5	0.0032136377	1.730764927219226E-4
DQ437582.1	1948.5	0.0023614889	-3.186824608758486E-4
DQ441432.1	1947.5	0.002308181	-3.548289396186027E-4
DQ441430.1	1951.5	0.0023216884	-4.0996722464760067E-4
DQ441429.1	1946.5	0.0022790553	-3.667932183613566E-4
DQ441428.1	1953.5	0.0022790553	-4.8692316716209254E-4
DQ441444.1	1944.5	0.0024591613999999998	-1.5236427584685783E-4
DQ437585.1	1964.5	0.0026397472	-3.150069009918333E-4
DQ437586.1	1964.5	0.0026128416	-3.419125009918333E-4
DQ441433.1	1967.5	0.0026290694	-3.7716896476357826E-4
DQ437580.1	1970.5	0.0026241215	-4.336011285353304E-4
DQ437592.1	1972.5	0.00262928	-4.627654710498293E-4
DQ437587.1	1972.5	0.0026344386	-4.576068710498292E-4
DQ441448.1	1972.5	0.0026395989	-4.524465710498294E-4
DQ437591.1	1970.5	0.0026427523	-4.149703285353302E-4
DQ441442.1	1970.5	0.0026643111	-3.934115285353303E-4
NC_001611.1	1967.5	0.0038479211	8.416827352364215E-4
DQ441427.1	1953.5	0.0024719467	-2.940317671620927E-4
DQ441446.1	1947.5	0.0025069805	-1.560294396186026E-4
DQ437584.1	1958.5	0.002635237	-2.165485734483435E-4
DQ441443.1	1965.5	0.0036243481999999995	6.524326777509132E-4
DQ441423.1	1970.5	0.0036643648999999993	6.06642271464669E-4
DQ437583.1	1970.5	0.0036823129999999996	6.245903714646693E-4
OL468962.1	1970.5	0.003991216299999999	9.334936714646691E-4
DQ441435.1	1965.5	0.0026867604	-2.8515512224908633E-4
DQ441436.1	1965.5	0.0027291152	-2.428003222490864E-4
DQ441418.1	1973.5	0.0028156437	-2.9356319230707537E-4
DQ441417.1	1972.5	0.0028156437	-2.7640177104982936E-4
DQ441440.1	1947.5	0.0033917707	7.287607603813973E-4
DQ441441.1	1947.5	0.0033971334999999994	7.341235603813968E-4
DQ441424.1	1972.5	0.0036850098999999994	5.929644289501702E-4
DQ441425.1	1972.5	0.0036850098999999994	5.929644289501702E-4
DQ437590.1	1977.5	0.0038363626999999997	6.585101226639265E-4
DQ441439.1	1977.5	0.0037567338	5.788812226639266E-4
