tip	date	distance	residual
KY558988.1_01-Aug-2014_Zaire_ebolavirus_Homo_sapiens	2014.5808219178082	2.1318419999999998E-4	-3.830099638530366E-4
KY558986.1_01-Nov-2014_Zaire_ebolavirus_Homo_sapiens	2014.8328767123287	5.321969000000001E-4	-1.3037379662045692E-4
KY558984.1_01-Dec-2014_Zaire_ebolavirus_Homo_sapiens	2014.9150684931508	5.29801E-4	-1.5441421817518816E-4
KR075001.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	0.0010611089	6.178693551329754E-4
KP178538.1_03-Aug-2014_Zaire_ebolavirus_Homo_sapiens	2014.5863013698631	1.086436E-4	-4.889935319567075E-4
MH121161.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	3.2354260000000006E-4	-1.1969694486702449E-4
MG572232.1_19-Mar-2014_Zaire_ebolavirus_Homo_sapiens	2014.2109589041097	7.973144000000001E-4	2.9852058314275417E-4
KP096421.1_Mar-2014_Zaire_ebolavirus_Homo_sapiensVero_E6_cells	2014.0	6.904886E-4	2.472490551329755E-4
KP096422.1_Mar-2014_Zaire_ebolavirus_Homo_sapiensVero_E6_cells	2014.0	5.335339000000001E-4	9.029435513297553E-5
MG572234.1_17-Mar-2014_Zaire_ebolavirus_Homo_sapiens	2014.2054794520548	5.345339E-4	3.718305124642506E-5
MG572231.1_17-Mar-2014_Zaire_ebolavirus_Homo_sapiens	2014.2054794520548	5.345339E-4	3.718305124642506E-5
MW345251.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	4.804407000000001E-4	3.720115513297553E-5
KP240932.1_26-Sep-2014_Zaire_ebolavirus_Homo_sapiens	2014.7342465753425	3.759068000000001E-4	-2.6069047075493487E-4
KT765131.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	6.983200000000001E-4	2.5508045513297556E-4
KT765130.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	0.0013462622999999996	9.030227551329751E-4
MH425138.1_09-Aug-2014_Zaire_ebolavirus_Homo_sapiens	2014.6027397260275	1.11171E-4	-4.907950362676094E-4
KR074996.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	2.1657509999999997E-4	-2.2666444486702458E-4
KP260801.1_21-Nov-2014_Zaire_ebolavirus_Homo_sapiens	2014.8876712328768	4.3003730000000013E-4	-2.469630776569443E-4
KP260799.1_23-Oct-2014_Zaire_ebolavirus_Homo_sapiens	2014.8082191780823	2.1760779999999998E-4	-4.3846954015415977E-4
KR075000.1_2015_Zaire_ebolavirus_Homo_sapiens	2015.0	3.218615000000001E-4	-3.8471972378153265E-4
KM233076.1_14-Jun-2014_Zaire_ebolavirus_Homo_sapiens	2014.4493150684932	5.864239999999999E-5	-5.029205293656E-4
KP342330.1_Oct-2014_Zaire_ebolavirus_Homo_sapiens	2014.0	1.1108479999999998E-4	-3.321547448670246E-4
KY426685.1_2015_Zaire_ebolavirus_Homo_sapiens	2015.0	0.0013337022999999996	6.271210762184669E-4
KY426684.1_2015_Zaire_ebolavirus_Homo_sapiens	2015.0	4.289767000000002E-4	-2.7760452378153256E-4
KT357851.1_06-Feb-2015_Zaire_ebolavirus_Homo_sapiens	2015.0986301369862	8.573029000000002E-4	1.2474825035294545E-4
KT357850.1_06-Feb-2015_Zaire_ebolavirus_Homo_sapiens	2015.0986301369862	8.573029000000002E-4	1.2474825035294545E-4
KT357852.1_18-Feb-2015_Zaire_ebolavirus_Homo_sapiens	2015.131506849315	7.512068000000002E-4	9.994341731030774E-6
KT357826.1_13-Jan-2015_Zaire_ebolavirus_Homo_sapiens	2015.0328767123287	6.989772000000002E-4	-1.6261832403447222E-5
KU143777.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	4.2632210000000006E-4	-1.6917444867024485E-5
KU143775.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	0.0010092009999999997	5.659614551329752E-4
KY426686.1_2015_Zaire_ebolavirus_Homo_sapiens	2015.0	4.803623000000001E-4	-2.2621892378153264E-4
KT357860.1_30-Jun-2015_Zaire_ebolavirus_Homo_sapiens	2015.4931506849316	0.0018869711999999995	0.0010505228468906348
KR025228.1_12-Mar-2015_Zaire_ebolavirus_Homo_sapiens	2015.1917808219177	7.997980000000001E-4	4.271289259098331E-5
KT357822.1_10-Mar-2015_Zaire_ebolavirus_Homo_sapiens	2015.186301369863	6.425762000000001E-4	-1.1306593930534572E-4
MF599517.1_30-May-2015_Zaire_ebolavirus_Homo_sapiens	2015.4082191780822	6.953964000000002E-4	-1.186859475027979E-4
MF599506.1_17-Mar-2015_Zaire_ebolavirus_Homo_sapiens	2015.2054794520548	7.481298000000001E-4	-1.2562727668083049E-5
KT589389.1_07-Sep-2014_Zaire_ebolavirus_Homo_sapiens	2014.682191780822	5.880798000000002E-4	-3.4809273770393845E-5
KP240931.1_13-Sep-2014_Zaire_ebolavirus_Homo_sapiens	2014.6986301369864	6.395420000000001E-4	1.2324021918704237E-5
KU143776.1_2014_Zaire_ebolavirus_Homo_sapiens	2014.0	3.740118000000001E-4	-6.922774486702444E-5
KT946869.1_19-Dec-2014_Zaire_ebolavirus_Homo_sapiens	2014.964383561644	4.849167000000001E-4	-2.1228523110789356E-4
KT357823.1_28-Mar-2015_Zaire_ebolavirus_Homo_sapiens	2015.2356164383561	0.0010739537999999997	3.053249477618374E-4
KP701371.1_25-Nov-2014_Zaire_ebolavirus_Homo_sapiens	2014.8986301369864	6.995761000000002E-4	1.9689786135713852E-5
MG948590.1_11-Nov-2014_Zaire_ebolavirus_Homo_sapiens	2014.8602739726027	6.848186000000001E-4	1.5033062861299407E-5
MG948588.1_03-Nov-2014_Zaire_ebolavirus_Homo_sapiens	2014.8383561643836	8.822774000000001E-4	2.182637352758722E-4
MG948589.1_09-Nov-2014_Zaire_ebolavirus_Homo_sapiens	2014.854794520548	0.0012259156999999995	5.575731309648588E-4
MG948587.1_24-Oct-2014_Zaire_ebolavirus_Homo_sapiens	2014.8109589041096	0.0011598438999999997	5.030450757940045E-4
KM034551.1_26-May-2014_Zaire_ebolavirus_Homo_sapiens	2014.3972602739725	1.058523E-4	-4.4200243238094793E-4
KM233067.1_15-Jun-2014_Zaire_ebolavirus_Homo_sapiens	2014.4520547945206	1.069805E-4	-4.553039134174354E-4
